epoch,train_loss,train_accuracy,train_precision_macro,train_recall_macro,train_f1_macro,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,val_precision_weighted,val_recall_weighted,val_f1_weighted,lr
1,1.403126339393111,0.3758248503759783,0.3607793492202421,0.3784028132207039,0.36601942184465003,0.4067103109656301,0.3561271949172949,0.3793427100655593,0.2782043136872021,0.5804489194423439,0.4067103109656301,0.4380602885668485,0.0007
2,1.198030267733065,0.45393626272443605,0.44335171578956734,0.4550606320110607,0.4477246230519544,0.41939443535188214,0.3772213702063815,0.4640977118608381,0.3631843355463992,0.6181287217983998,0.41939443535188214,0.4313035811391833,0.0007
3,1.1002331563131091,0.4943475369584122,0.48352934227681427,0.4929869219967381,0.4868505128862731,0.4779050736497545,0.37606321204193344,0.5307439598669189,0.38573044429031234,0.6309360616458008,0.4779050736497545,0.5088559699316677,0.0007
4,1.0218172513790416,0.5212542841066039,0.5155046597543561,0.5229289940263835,0.5182653791473352,0.4946808510638298,0.40912134701897407,0.5274839400153916,0.4072929653576934,0.6331126328074005,0.4946808510638298,0.5102701213516585,0.0007
5,0.9703104590337852,0.5382372499872117,0.5305324487564612,0.5398732297248086,0.5339772245222022,0.5523731587561375,0.4248212713011783,0.5198903433326203,0.4422625486446882,0.6336744040641413,0.5523731587561375,0.575735058446951,0.0007
6,0.9010588462148227,0.5661670673691749,0.5569550775352992,0.5655527460845994,0.5603744257763029,0.47913256955810146,0.36794730194482045,0.5199991116083313,0.38241700257630035,0.6188041386535196,0.47913256955810146,0.4896531078007627,0.0007
7,0.8480784808304543,0.5830477262264054,0.5750161224492408,0.582485508825121,0.5779530662729686,0.5090016366612111,0.4078473773220788,0.4989432927084154,0.3974765034310183,0.6539668200748266,0.5090016366612111,0.5462937422201624,0.0007
8,0.8040922205797808,0.6034068238784592,0.5953795916212021,0.6019971521151364,0.5978314758573995,0.5392798690671031,0.43913453444077866,0.5407196939557536,0.44799537106564363,0.6691720677367186,0.5392798690671031,0.5755066952012118,0.0007
9,0.7574516948857718,0.6222824696915443,0.615420962726964,0.6218555211548761,0.6179142144345028,0.5470540098199672,0.427572545266457,0.5619523018223084,0.4440211089671845,0.6551503330868821,0.5470540098199672,0.5638850213266423,0.0007
10,0.7058171637497678,0.6406465803877436,0.6342484234261854,0.639666341171193,0.6363642858729561,0.502454991816694,0.4281400302915357,0.5239417001241194,0.41275088693143563,0.659313771902316,0.502454991816694,0.5362973063382817,0.0007
